id	source	url	observed_signal	surface_plugin_implication
swiftbar-ambient	Six Colors on SwiftBar	https://sixcolors.com/post/2020/12/swiftbar-steps-up-to-provide-ambient-data-in-the-menu-bar/	SwiftBar is framed as a place for ambient data visible at all times.	Surface can specialize in ambient-plus-action blocks instead of passive status.
gh-pr-list	GitHub CLI manual: gh pr list	https://cli.github.com/manual/gh_pr_list	`gh pr list` lists open pull requests by default and supports filters/search plus JSON output.	Use `gh pr list --json ...` as the first live data path for `githubqueue`.
gh-pr-checks	GitHub CLI manual: gh pr checks	https://cli.github.com/manual/gh_pr_checks	`gh pr checks` shows CI status for one PR and JSON output includes a status bucket of pass/fail/pending/skipping/cancel.	Use checks as a per-PR enrichment step, not as the initial list path.
gh-pr-view	GitHub CLI manual: gh pr view	https://cli.github.com/manual/gh_pr_view	`gh pr view` displays PR details and can open the PR in the browser with `--web`.	Use details/open actions after a row is selected or clicked.
gh-pr-status	GitHub CLI manual: gh pr status	https://cli.github.com/manual/gh_pr_status	`gh pr status` summarizes relevant pull requests, including current branch, created-by-you, review requests, checks, reviews, and JSON fields.	`worktreecards` can display PR status only through `githubqueue` cache/handoff rather than owning another GitHub query path.
gh-formatting	GitHub CLI formatting help	https://cli.github.com/manual/gh_help_formatting	The `--json` flag requires explicit fields; omitting field names can show possible fields for a command.	Fixture schema should include only fields this repo actually consumes, not every possible GraphQL field.
raycast-github	Raycast GitHub extension	https://www.raycast.com/raycast/github	Raycast frames GitHub work as issues, pull requests, workflows, repository search, and notifications.	Surface should start with PR queue and leave issues/workflows as later tabs or sibling blocks.
raycast-file-search	Raycast File Search	https://www.raycast.com/core-features/file-search	Raycast positions File Search as a way to find, manage, and open local documents/files from the keyboard.	Surface should not clone global search; it should show a scoped recent-file inbox with direct actions.
hazel-main	Noodlesoft Hazel	https://www.noodlesoft.com/	Hazel watches configured folders and organizes files according to user-created rules based on name, date, type, source, and more.	`fileinbox` can borrow watched-folder awareness but should avoid becoming a full rule engine.
hazel-smart-folders	Hazel manual overview	https://www.noodlesoft.com/manual/hazel/hazel-overview/	Hazel can monitor Smart Folders with limitations.	Smart Folder support is a later research item; start with explicit directories.
dropzone-appstore	Dropzone 4 App Store	https://apps.apple.com/us/app/dropzone-4-enhance-workflow/id1485052491	Dropzone supports faster file copy/move, opening apps, sharing, and a scripting API for custom actions.	`fileinbox` rows should expose move/copy/reveal/share-style actions without custom scripting first.
dropzone-product	Dropzone 5 product page	https://aptonic.com/	Dropzone appears when dragging files and lets users drop files onto actions to move, share, upload, and more.	Surface can invert this: show recent files first, then apply small action buttons.
dropzone-dropbar	Dropzone Floating Drop Bar	https://aptonic.com/blog/introducing-floating-drop-bar-in-dropzone-4	Drop Bar lets users keep files in a temporary stack and reuse them across repeated operations.	`fileinbox` can add a pinned stack later after recent-file triage works.
dropzone-floating-dropbar	Dropzone Floating Drop Bar	https://aptonic.com/blog/introducing-floating-drop-bar-in-dropzone-4	Drop Bar keeps references to files gathered from different locations, supports stacks, Quick Look, locking, reordering, and dragging the references into Finder, apps, or Dropzone actions.	`scratchcapturestack` should store references and explicit row actions, while avoiding Dropzone-style action execution in v1.
yoink-shelf	Yoink for Mac	https://eternalstorms.at/yoink/mac/	Yoink is a shelf for files and app content, can hold dragged content until needed, and also exposes clipboard-history-to-shelf workflows.	`scratchcapturestack` should borrow the visible staging shelf pattern but leave passive clipboard history and capture rules with Copy History.
dropover-shelf	Dropover	https://dropoverapp.com/	Dropover presents a temporary floating shelf for files, links, text, images, sharing, clipboard support, and built-in processing actions.	`scratchcapturestack` can support mixed item kinds and explicit copy/open actions, but should avoid cloud uploads, processors, watched folders, and action automation in v1.
unclutter-desktop-space	Unclutter for Mac	https://unclutterapp.com/	Unclutter unifies files, notes, and clipboard data in one desktop space with file drop zone, notes, and clipboard history panels.	Surface should not merge all stores into one universal inbox; `scratchcapturestack` should compose short-lived refs owned by separate source plugins.
apple-frontmost	NSWorkspace frontmostApplication	https://developer.apple.com/documentation/appkit/nsworkspace/frontmostapplication	Apple documents `frontmostApplication` as the app receiving key events.	`contextcard` v1 can show current app identity without Accessibility permission.
apple-did-activate	NSWorkspace didActivateApplicationNotification	https://developer.apple.com/documentation/appkit/nsworkspace/didactivateapplicationnotification	Apple documents a workspace notification for app activation.	Use this as the low-cost refresh trigger instead of polling heavily.
apple-nsrunning	NSRunningApplication	https://developer.apple.com/documentation/appkit/nsrunningapplication	Apple's running-app object is the app metadata surface tied to NSWorkspace.	Use localized name, bundle identifier, process id, executable/bundle URLs, and activation policy where available.
apple-cgwindow-list	CGWindowListCopyWindowInfo	https://developer.apple.com/documentation/coregraphics/cgwindowlistcopywindowinfo%28_%3A_%3A%29	Apple says the API returns detailed information about windows in the current user session.	Use it for best-effort window title lookup without AX.
apple-cgwindow-name	kCGWindowName	https://developer.apple.com/documentation/coregraphics/kcgwindowname	Apple documents the window-name key and notes that few apps set this key.	Treat window title as optional; never make the block depend on it.
apple-cgwindow-owner	kCGWindowOwnerName	https://developer.apple.com/documentation/coregraphics/kcgwindowownername	Apple documents the owner-name key for window dictionaries.	Use owner name/PID matching to associate windows with the frontmost app.
apple-ax-trusted	AXIsProcessTrustedWithOptions	https://developer.apple.com/documentation/applicationservices/1459186-axisprocesstrustedwithoptions	Apple documents this as returning whether the current process is a trusted accessibility client.	AX-enhanced context must show a permission state before querying focused elements.
apple-ax-app	AXUIElementCreateApplication	https://developer.apple.com/documentation/applicationservices/1459374-axuielementcreateapplication	Apple documents creating the top-level accessibility object for an app process id.	Use only in v2 after permission is granted.
apple-ax-focused-window	kAXFocusedWindowAttribute	https://developer.apple.com/documentation/applicationservices/kaxfocusedwindowattribute	Apple documents this as the accessibility object for the currently focused window of an application.	Use as the AX path for precise window metadata after permission.
apple-ax-focused-element	kAXFocusedUIElementAttribute	https://developer.apple.com/documentation/applicationservices/kaxfocuseduielementattribute	Apple documents the focused UI element attribute.	Use for selected text/field context only in an explicit AX-gated version.
apple-screen-preflight	CGPreflightScreenCaptureAccess	https://developer.apple.com/documentation/coregraphics/cgpreflightscreencaptureaccess%28%29	Apple documents a preflight API for checking Screen Recording access.	`permissionsdashboard` can check screen-capture status without immediately requesting it.
apple-screen-request	CGRequestScreenCaptureAccess	https://developer.apple.com/documentation/coregraphics/cgrequestscreencaptureaccess%28%29	Apple documents a request API for Screen Recording access.	Only call request from an explicit user action in a permission block.
apple-input-monitoring	Apple Support: Control access to input monitoring on Mac	https://support.apple.com/guide/mac-help/control-access-to-input-monitoring-on-mac-mchl4cedafb6/mac	Apple explains that apps can monitor keyboard, mouse, or trackpad input even while other apps are active, and users control this in Privacy & Security.	Avoid input-monitoring plugins until a clear blocked/request-instructions state exists.
apple-eventkit-request	EventKit requestFullAccessToEvents	https://developer.apple.com/documentation/eventkit/ekeventstore/requestfullaccesstoevents%28completion%3A%29	Apple documents prompting people to grant or deny read/write access to calendar event data.	Calendar plugin v1 should be fixture-first and ask only after showing why.
apple-eventkit-status	EventKit authorizationStatus(for:)	https://developer.apple.com/documentation/eventkit/ekeventstore/authorizationstatus%28for%3A%29	Apple documents checking current EventKit authorization status for an entity type.	`permissionsdashboard` can show calendar status before any Calendar block requests access.
apple-calendar-plist	NSCalendarsUsageDescription	https://developer.apple.com/documentation/bundleresources/information-property-list/nscalendarsusagedescription	Apple marks `NSCalendarsUsageDescription` deprecated in favor of newer full-access purpose strings for read/write calendar access.	Run script/bundle generation needs modern purpose strings before calendar work ships.
apple-contacts-store	CNContactStore	https://developer.apple.com/documentation/contacts/cncontactstore	Apple's contacts store exposes current authorization status and access request methods.	Contacts-backed plugins should use a status-first UI and avoid broad contact reads unless needed.
apple-contacts-status	CNContactStore authorizationStatus(for:)	https://developer.apple.com/documentation/Contacts/CNContactStore/authorizationStatus%28for%3A%29	Apple says apps can display or hide Contacts UI elements based on authorization status.	This matches the Surface blocked/available row model.
apple-contacts-request	CNContactStore requestAccess	https://developer.apple.com/documentation/contacts/cncontactstore/requestaccess%28for%3Acompletionhandler%3A%29	Apple documents requesting access for Contacts data.	Requests should be explicit user actions, not runtime startup side effects.
apple-contacts-framework	Contacts framework	https://developer.apple.com/documentation/Contacts	Apple's Contacts framework supports formatting/localizing contact information, predefined predicates, `keysToFetch`, and access through `CNContactStore`.	`contactquicklook` should fetch only the fields it displays and avoid broad address-book reads.
apple-contacts-info-plist	NSContactsUsageDescription	https://developer.apple.com/documentation/BundleResources/Information-Property-List/NSContactsUsageDescription	Apple requires a user-facing purpose string explaining why an app requests Contacts access.	Live Contacts lookup should not ship until bundle generation includes the Contacts purpose string.
apple-cncontact	CNContact	https://developer.apple.com/documentation/contacts/cncontact	`CNContact` is an immutable contact snapshot with fields such as names, phone numbers, email addresses, and postal addresses.	Surface should map contacts into small display DTOs and avoid edit/write flows.
apple-contact-fetch-request	CNContactFetchRequest	https://developer.apple.com/documentation/contacts/cncontactfetchrequest	`CNContactFetchRequest` defines options for fetching contacts, including requested keys and predicates.	Use minimal `keysToFetch` and exact predicates instead of fetching every property.
apple-contact-unified	CNContactStore unifiedContacts(matching:keysToFetch:)	https://developer.apple.com/documentation/contacts/cncontactstore/unifiedcontacts%28matching%3Akeystofetch%3A%29	Apple provides a Contacts store API for fetching unified contacts matching a predicate and requested key set.	Use only explicit identifier/email/phone predicates for v1 lookups.
apple-contact-predicate-identifiers	CNContact predicateForContacts(withIdentifiers:)	https://developer.apple.com/documentation/Contacts/CNContact/predicateForContacts%28withIdentifiers%3A%29	Apple provides a predicate for contacts matching specified identifiers.	Cached rows or picker results can refresh exact contact identifiers without address-book enumeration.
apple-contact-predicate-email	CNContact predicateForContacts(matchingEmailAddress:)	https://developer.apple.com/documentation/contacts/cncontact/predicateforcontacts%28matchingemailaddress%3A%29	Apple provides a predicate for contacts whose email address matches a specified value.	Email lookup can be exact and explicit instead of broad search.
apple-contact-predicate-phone	CNContact predicateForContacts(matching:)	https://developer.apple.com/documentation/contacts/cncontact/predicateforcontacts%28matching%3A%29	Apple provides a predicate for contacts whose phone number matches a specified value.	Phone lookup can be exact and explicit instead of broad search.
apple-contact-formatter	CNContactFormatter	https://developer.apple.com/documentation/contacts/cncontactformatter	Apple's contact formatter handles localized ordering and delimiting for contact name components.	Use formatter descriptors rather than hand-concatenating names.
apple-contact-store-change	CNContactStoreDidChange	https://developer.apple.com/documentation/foundation/nsnotification/name-swift.struct/cncontactstoredidchange	Apple posts a notification when the contact store changes.	If caching Contacts-derived rows later, treat cached contacts as stale and refetch exact identifiers only.
apple-contact-picker	CNContactPicker	https://developer.apple.com/documentation/contactsui/cncontactpicker	Apple provides a macOS contact picker for selecting contacts through system UI.	Picker-based one-off selection is a later explicit action, not a background source.
apple-contact-access-button	WWDC24: Meet the Contact Access Button	https://developer.apple.com/videos/play/wwdc2024/10121/	Apple emphasizes limited Contacts access and just-in-time contact sharing through user interaction.	Keep Surface's Contacts access contextual and explicit; do not prompt before a clear contact lookup action.
apple-events-plist	NSAppleEventsUsageDescription	https://developer.apple.com/documentation/bundleresources/information-property-list/nsappleeventsusagedescription	Apple documents an Info.plist purpose string for Apple Events automation.	Automation/AppleScript plugins need bundle plist support and target-specific copy before implementation.
apple-pppc	Apple deployment: Privacy Preferences Policy Control payload	https://support.apple.com/guide/deployment/privacy-preferences-policy-control-payload-dep38df53c2a/web	Apple documents MDM-managed Privacy Preferences Policy Control for managed Macs.	Enterprise preapproval is out of scope; Surface should design for manual user consent.
obsidian-uri	Obsidian URI - Obsidian Help	https://obsidian.md/help/uri	Obsidian URI supports opening vaults, files, absolute paths, daily notes, and search queries.	`obsidianqueue` can use URI actions for open daily note, open source note, and open search without writing to the vault.
obsidian-daily	Daily notes - Obsidian Help	https://obsidian.md/help/plugins/daily-notes	Daily notes is a core plugin that opens or creates today's note and supports configured folder, date format, and template behavior.	Surface should show daily-note status but reuse Quicksave's configured path/date behavior instead of hard-coding Obsidian defaults.
obsidian-properties	Properties - Obsidian Help	https://obsidian.md/help/properties	Obsidian properties are structured frontmatter fields for text, links, dates, checkboxes, numbers, and tags.	`obsidianqueue` can read simple status fields such as `Related` but should not rewrite frontmatter in v1.
obsidian-search	Search - Obsidian Help	https://obsidian.md/help/plugins/search	Obsidian Search supports search terms and operators, including path and file search.	Pending backlink rows should expose an open-search action to validate source notes and proposed links.
obsidian-cli	Obsidian CLI - Obsidian Help	https://obsidian.md/help/cli	Obsidian CLI can open daily notes, append to daily notes, search, read, list tasks, and list tag counts, but it requires or launches the Obsidian app.	Keep v1 file/URI based; treat CLI daily/search/tasks enrichment as a later optional path.
raycast-timers	Raycast Store: Timers	https://www.raycast.com/ThatNerd/timers	Raycast Timers starts/stops countdown timers, custom timers, saved timers, stopwatches, and alarm-style alerts without external dependencies.	`focus` can start as a dependency-free local timer block with persisted presets/state.
raycast-pomodoro	Raycast Store: Pomodoro	https://www.raycast.com/asubbotin/pomodoro	Raycast Pomodoro is a Raycast-only pomodoro implementation with a menu-bar timer; Do Not Disturb support is delegated to another extension.	Keep Surface `focus` local-first and avoid macOS Focus/Do Not Disturb toggles in v1.
apple-focus-mac	Apple Support: Set up a Focus on Mac	https://support.apple.com/guide/mac-help/set-up-a-focus-to-stay-on-task-mchl613dc43f/mac	Apple documents Focus as a user-managed system feature with notification allowlists, schedules, app triggers, and app filters.	Surface should link to or coexist with macOS Focus settings, not duplicate or mutate them.
apple-focus-filters	Apple Developer: Defining your app's Focus filter	https://developer.apple.com/documentation/AppIntents/defining-your-app-s-focus-filter	Apple says apps can define Focus filters with App Intents and adapt app behavior when Focus changes.	Focus Filters are a later app-behavior integration, not a v1 timer or blocking mechanism.
apple-screen-time-api	Apple Developer: Meet the Screen Time API	https://developer.apple.com/videos/play/wwdc2021/10123/	Apple frames Screen Time APIs around Managed Settings, Family Controls, Device Activity, privacy, and restrictions.	App/website blocking belongs outside `focus` v1 because it introduces sensitive permission and entitlement scope.
pomodoro-technique	Pomodoro Technique	https://www.pomodorotechnique.com/	The Pomodoro method is a timer-based focused-work pattern commonly associated with 25-minute focus intervals and breaks.	Use 25/5-style defaults as seed settings, but allow custom durations for deep-work sessions.
xbar-writing-plugins	xbar plugin writing guide	https://github.com/matryer/xbar-plugins/blob/main/CONTRIBUTING.md	xbar plugins are executables that print lines to stdout; filename time components define refresh rate; lines can include separators, submenus, and parameters.	`scriptoutput` should support a small stdout row parser and scheduled refresh, but not import the whole xbar plugin model.
xbar-action-params	xbar plugin parameters	https://github.com/matryer/xbar-plugins/blob/main/CONTRIBUTING.md	xbar parameters include `href`, `shell`, `param`, `terminal`, and `refresh`, so menu rows can trigger commands and refreshes.	Surface v1 should render `href` but ignore command-running parameters to avoid becoming an arbitrary action runner.
swiftbar-plugin-api	SwiftBar README plugin API	https://github.com/swiftbar/SwiftBar	SwiftBar plugins are executable scripts in a plugin folder; stdout is split into header/body around `---`, and each line can carry parameters after `|`.	`scriptoutput` can parse the common header/body/parameter subset for compatibility with simple menu-bar scripts.
swiftbar-product	SWiftBar product page	https://ameba.co/swiftbar/	SwiftBar runs scripts on a user-defined schedule and shows their text output with icons, colors, dropdowns, and examples for CPU, GitHub PRs, weather, and battery.	A scheduled single-script status block is useful, but Surface should keep config explicit and fixture-backed.
ubersicht-widget-warning	Übersicht widget gallery disclaimer	https://tracesof.net/uebersicht-widgets/	Übersicht warns that widgets can run arbitrary code and users should inspect source before installing.	Surface should require explicit local script paths, no remote plugin install, no marketplace, and visible disabled/error states.
git-status-porcelain	Git status documentation	https://git-scm.com/docs/git-status	`git status` documents porcelain formats, including porcelain v2 and branch headers meant for stable machine parsing.	`localbuildstatus` can parse `git status --porcelain=v2 --branch` for branch, ahead/behind, dirty, untracked, and conflict state.
git-worktree-list-porcelain	Git worktree documentation	https://git-scm.com/docs/git-worktree	`git worktree list --porcelain` is documented as easy to parse, stable across Git versions/configuration, and recommended with `-z`; records include path, HEAD, branch, locked, prunable, bare, and detached attributes.	`worktreecards` should use read-only porcelain worktree discovery and fixture equivalents, not human output.
git-worktree-mutations	Git worktree documentation	https://git-scm.com/docs/git-worktree	Git worktree mutation commands add, move, remove, prune, repair, lock, and unlock worktrees, with safeguards around dirty, locked, missing, moved, and portable worktrees.	`worktreecards` should not own worktree creation/removal/pruning/repair; it should surface locked/prunable/missing state only.
git-rev-parse	Git rev-parse documentation	https://git-scm.com/docs/git-rev-parse	`git rev-parse --show-toplevel` prints the top-level worktree path.	Use as a validation/fallback path for configured repo roots.
git-branch-current	Git branch documentation	https://git-scm.com/docs/git-branch	`git branch --show-current` prints the current branch name.	Use only as a fallback if porcelain branch headers are missing.
swift-package-manager	Swift Package Manager documentation	https://docs.swift.org/package-manager/	Swift Package Manager is the official toolchain path for package build/test workflows.	Surface is a SwiftPM project, so `localbuildstatus` should report SwiftPM build/test results written by an external runner.
surface-readme-verification	Surface README Build, Run, and Test	../README.md	The repo README defines `swift build`, `swift test`, focused test filters, block preview rendering, and `script/build_and_run.sh --verify` as the local verification loop.	`localbuildstatus` should mirror these result categories and commands without executing them.
vscode-cli-open-folder	VS Code command line docs	https://code.visualstudio.com/docs/configure/command-line	VS Code documents launching folders/files from the `code` CLI and using `--reuse-window` or `--new-window`.	`worktreecards` can offer copyable editor commands later, but v1 should open/reveal through AppKit/App Quick Launch rather than running editor CLIs.
github-about-readmes	GitHub Docs: About READMEs	https://docs.github.com/repositories/managing-your-repositorys-settings-and-features/customizing-your-repository/about-readmes	GitHub frames README files as the place to explain what a project does, why it is useful, what users can do with it, and how to use it.	`readmehub` should treat README files as canonical local docs and index them rather than generating replacements.
github-basic-writing	GitHub Docs: Basic writing and formatting syntax	https://docs.github.com/get-started/writing-on-github/getting-started-with-writing-and-formatting-on-github/basic-writing-and-formatting-syntax	GitHub Markdown docs cover headings, links, relative links, lists, and fenced code blocks used in repository docs.	`readmehub` can extract headings, local links, and shell command blocks without rendering or editing Markdown.
commonmark-spec	CommonMark specification	https://spec.commonmark.org/	CommonMark defines portable Markdown syntax, including ATX headings, links, and fenced code blocks.	Use a tiny deterministic extraction subset for `readmehub`; do not build a full Markdown renderer.
swift-docc	Swift-DocC documentation	https://www.swift.org/documentation/docc/	Swift-DocC builds rich documentation from Swift code comments and Markdown files.	Doc generation is a separate tooling concern; `readmehub` should link/copy docs commands only, not generate docs.
vscode-markdown	Visual Studio Code Markdown docs	https://code.visualstudio.com/docs/languages/markdown	VS Code provides Markdown editing, preview, extensions, and navigation features.	`readmehub` should open docs externally and avoid embedding a Markdown editor or preview UI.
surface-readme-plugin-system	Surface README Plugin and Block System	../README.md	Surface's README states that a block is the extension unit and lists the add-a-plugin steps through plugin target, runtime, registry, Package.swift, tests, preview fixtures, and validation commands.	`readmehub` should expose this canonical checklist and commands as read-only rows instead of creating scaffolding or a second plugin manager.
codexlog-readme-dev-loop	Codex Log README Development Loop	../plugins/codexlog/README.md	Codex Log's plugin README documents focused tests, block-preview rendering, preview smoke tests, full package checks, and fixture rules.	`readmehub` can surface plugin-specific README cards and command copy actions without running the commands.
surface-core-blockregistry	Surface Core BlockRegistry	../Sources/Core/Model.swift	`BlockRegistry` stores the active `Block` list, rejects duplicate ids at initialization, and exposes lookup by `BlockID`.	`registryhealth` should report duplicate and unknown-id issues while leaving registry enforcement in Core.
surface-blocks-registry	Surface Blocks registry	../plugins/Blocks.swift	The active registry is currently one `Blocks.registry` containing `Quicksave.Plugin.block`, `CopyHistory.Plugin.block`, and `CodexLog.Plugin.block`.	`registryhealth` should inspect/report this owner, not create a second registry or generator.
surface-package-targets	Surface SwiftPM package targets	../Package.swift	`Package.swift` explicitly wires the `Blocks` target, plugin targets, plugin tests, and `BlockPreviewTests`.	`registryhealth` can surface package/test wiring mismatches from a status report without mutating SwiftPM files.
surface-layout-default	Surface default layout	../Sources/Core/Layout.swift	`SurfaceLayout.defaultLayout` stores enabled block ids and frames for the default workspace.	`registryhealth` can report layout ids that are missing from the registry while leaving layout ownership unchanged.
surface-blockpreview-support	Surface BlockPreview support	../tools/block-preview/support/BlockPreviewSupport.swift	`BlockPreview` defines fixture coverage and renders previews through `Blocks.registry`, `Block.Context`, and the real runtime view path.	`registryhealth` should mirror fixture/render status from this owner instead of adding preview-only UI.
surface-blockpreview-tests	Surface BlockPreview tests	../tests/BlockPreviewTests/BlockPreviewTests.swift	`BlockPreviewTests` render every fixture, check nonblank PNG metrics, render the full surface, and assert current plugin fixture coverage.	`registryhealth` should display these coverage results, while tests remain the enforcement owner.
swift-package-description	Swift Package Manager PackageDescription	https://docs.swift.org/package-manager/PackageDescription/PackageDescription.html	Swift Package Manager's package description model represents packages through explicit products, targets, dependencies, and test targets.	Registry health can reason about Package.swift target wiring, but the block should not rewrite package structure.
surface-readme-add-plugin	Surface README Add a Plugin	../README.md	The README defines the canonical plugin path through `Plugin.block`, `BlockRuntime`, `Block.Context`, `plugins/Blocks.swift`, Package.swift, plugin tests, preview fixtures, and validation commands.	`plugintemplates` should present copyable checklists/snippets that follow this owner path instead of inventing a scaffolder.
surface-agents-preview-loop	Surface AGENTS plugin UI iteration loop	../AGENTS.md	AGENTS requires rendering plugin UI through the real `Block` / `BlockRuntime.makeView()` block-preview harness and says not to create preview-only UI.	Template cards should point authors to the real preview harness and fixture path.
surface-existing-plugin-shapes	Surface existing plugin source shapes	../plugins	Current plugins provide concrete examples: a small `Plugin.block`, a compact inline Copy History runtime/view, split Quicksave runtime/view/helpers, and multi-file Codex Log status/action rows.	`plugintemplates` should use these local examples rather than generating large files from scratch.
raycast-create-extension	Raycast Create Your First Extension	https://developers.raycast.com/basics/create-your-first-extension	Raycast starts extension authoring with a Create Extension command, a selected template, `npm install && npm run dev`, and edit/reload iteration.	Starter templates are useful, but Surface should keep authoring inside the existing SwiftPM/block-preview loop.
raycast-extension-templates	Raycast Templates	https://developers.raycast.com/information/developer-tools/templates	Raycast documents command, tool, and extension boilerplate templates, including detail/list/form/menu-bar/script/AI patterns and `npm init raycast-extension -t`.	`plugintemplates` can mirror pattern cards and snippets, but must not add Raycast-style generation or a template marketplace.
raycast-extension-review-checklist	Raycast Prepare an Extension for Store	https://developers.raycast.com/basics/prepare-an-extension-for-store	Raycast uses review checklists for metadata, naming, dependency lockfiles, terms, build, lint, and manual validation.	Surface plugin templates should include checklists for wiring, previews, tests, and naming without owning review automation.
vscode-first-extension	Visual Studio Code Your First Extension	https://code.visualstudio.com/api/get-started/your-first-extension	VS Code's first-extension guide uses Yeoman/generator-code to scaffold, then explains editing, debugging, and extension anatomy.	Generators validate the need for starters but are too much owner surface for Surface v1; copyable snippets/checklists are safer.
github-template-repository	GitHub template repositories	https://docs.github.com/en/repositories/creating-and-managing-repositories/creating-a-template-repository	GitHub template repositories clone an existing repository's directory structure and files into a new repository with unrelated history.	Whole-repo templates are too coarse for adding one plugin target inside Surface; avoid template-repo sync in `plugintemplates`.
apple-packagedescription-target	Apple PackageDescription Target	https://developer.apple.com/documentation/packagedescription/target	Apple documents PackageDescription targets as source-file sets that Swift Package Manager compiles into modules or test suites.	Package target wiring should remain an explicit checklist/reporting step, not a hidden template mutation.
surface-localbuildstatus-artifacts	Surface Local Build Status artifacts	../research/localbuildstatus-spec.md	`localbuildstatus` defines `.build/surface-status` as the external-runner-owned directory for build, test, preview, and combined verification JSON/log artifacts.	`diagnosticbundle` can include those existing files but should not run build/test/preview commands.
surface-registryhealth-report	Surface Registry Health report	../research/registryhealth-spec.md	`registryhealth` consumes a generated registry/package/test/fixture status report and explicitly avoids recomputing or mutating owners.	`diagnosticbundle` should bundle that report rather than duplicate registry-health logic.
surface-notificationdigest-events	Surface Notification Digest events	../research/notificationdigest-spec.md	`notificationdigest` owns Surface/plugin event summaries and excludes macOS-wide notification scraping, unified-log mining, polling services, and background daemons.	`diagnosticbundle` should include only local Surface event summaries and avoid private notification/log sources.
surface-run-script-logs	Surface run script log commands	../script/build_and_run.sh	The run script exposes interactive `--logs` and `--telemetry` paths using `/usr/bin/log stream`, plus normal run/debug/verify paths.	`diagnosticbundle` should not run `log stream`; any app log artifact must be written by an external explicit path first.
github-issue-forms	GitHub issue forms	https://docs.github.com/en/communities/using-templates-to-encourage-useful-issues-and-pull-requests/configuring-issue-templates-for-your-repository	GitHub issue forms encourage contributors to provide specific structured information through customizable form fields.	`diagnosticbundle` should copy structured issue/support Markdown but never submit or upload it.
sentry-sensitive-data-scrubbing	Sentry sensitive data scrubbing	https://docs.sentry.io/platforms/python/data-management/sensitive-data/	Sentry recommends filtering or scrubbing sensitive data before it is sent or stored by the monitoring service.	Diagnostic exports need allowlists, redaction modes, and a redaction report before any sharing.
apple-oslog-privacy	Apple OSLog privacy	https://developer.apple.com/documentation/os/oslogprivacy	Apple documents OSLog privacy options to hide potentially sensitive information in generated app logs.	Surface should not collect private unified logs by default; exported logs must be prewritten and reviewable.
apple-privacy-manifest-files	Apple Privacy Manifest files	https://developer.apple.com/documentation/bundleresources/privacy-manifest-files	Apple privacy manifests record data types collected by an app or third-party SDK and the reasons for collection.	Any future upload/telemetry diagnostic path would need separate privacy review; v1 should stay local export only.
opentelemetry-log-collection	OpenTelemetry logging	https://opentelemetry.io/docs/specs/otel/logs/	OpenTelemetry log collection includes file readers, tailing, directory watching, checkpoints, and external collectors.	`diagnosticbundle` should avoid becoming a log collector or background agent; it should copy selected existing files only.
apple-sysdiagnose	Apple Sysdiagnose training	https://it-training.apple.com/support/tutorials/course/sup270/	Apple describes sysdiagnose as extracting information and capturing it in a log file for later analysis.	Surface should not trigger or include broad sysdiagnose archives in v1 diagnostic bundles.
